OBJECTID;UNIDADE_ID;CNES;P_OTIMO;P_BOM;P_REGULAR;P_INSUFICIENTE;cod_Bairro;Equipes;Data_Inauguracao;TP_UNIDADE;Flg_UPP;gestao;Long;Lat;LatLong;info
9034;3,30E+12;5457009;0.01;1;0.01;0.01;Vigário Geral;2;2011-07-06T00:00:00.000Z;CMS;Não;centralizada;-43,30375149;-22,80703513;-22.80703513:-43.30375149;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao centralizada
8980;3,30E+12;6029922;0.5;0.5;0.01;0.01;Cosmos;3;2011-06-06T00:00:00.000Z;CMS;Não;centralizada;-43,59524754;-22,89922047;-22.89922047:-43.59524754;Otimo 0.5<BR>Bom 0.5<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9037;3,30E+12;3567559;0.666;0.01;0.333;0.01;Cosmos;3;2004-03-20T00:00:00.000Z;CMS;Não;descentralizada;-43,61238093;-22,91425336;-22.91425336:-43.61238093;Otimo 0.666<BR>Bom 0.01<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9038;3,30E+12;2280795;0.01;0.01;1;0.01;Copacabana;6;1960-01-01T00:00:00.000Z;CMS;Entorno;descentralizada;-43,18739418;-22,96718723;-22.96718723:-43.18739418;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao descentralizada
9039;3,30E+12;2295237;0.01;0.01;1;0.01;Paciência;3;1981-07-18T00:00:00.000Z;CMS;Não;descentralizada;-43,63506604;-22,92729969;-22.92729969:-43.63506604;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9040;3,30E+12;3784959;0.01;0.5;0.5;0.01;Penha Circular;2;2010-12-18T00:00:00.000Z;CMS;Não;centralizada;-43,27152949;-22,82259186;-22.82259186:-43.27152949;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao centralizada
9045;3,30E+12;2280787;0.01;0.01;1;0.01;Tijuca;2;1988-01-15T00:00:00.000Z;CMS;Sim;descentralizada;-43,24251652;-22,94289485;-22.94289485:-43.24251652;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao descentralizada
9046;3,30E+12;2273640;0.01;0.01;1;0.01;;4;;CMS;Não;descentralizada;-43,18551699;-22,78669895;-22.78669895:-43.18551699;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9047;3,30E+12;2270315;0.01;0.01;1;0.01;Guaratiba;4;2011-08-05T00:00:00.000Z;CMS;Não;centralizada;-43,59307301;-22,99213573;-22.99213573:-43.59307301;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9051;3,30E+12;2708434;0.01;1;0.01;0.01;Catete;5;1956-06-13T00:00:00.000Z;CMS;Não;descentralizada;-43,17870638;-22,92608908;-22.92608908:-43.17870638;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao descentralizada
9057;3,30E+12;2269562;0.666;0.333;0.01;0.01;;3;1981-08-26T00:00:00.000Z;CMS;Não;descentralizada;-43,60568593;-22,89145371;-22.89145371:-43.60568593;Otimo 0.666<BR>Bom 0.333<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9062;3,30E+12;2270307;0.5;0.5;0.01;0.01;Barra de Guaratiba;2;2005-12-05T00:00:00.000Z;CMS;Não;descentralizada;-43,56840566;-23,06590354;-23.06590354:-43.56840566;Otimo 0.5<BR>Bom 0.5<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao descentralizada
8982;3,30E+12;3784967;0.01;1;0.01;0.01;Ramos;6;2006-02-24T00:00:00.000Z;CMS;Sim;descentralizada;-43,26756011;-22,85814855;-22.85814855:-43.26756011;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao descentralizada
9069;3,30E+12;5465877;0.01;0.5;0.5;0.01;Vargem Pequena;2;2006-07-15T00:00:00.000Z;CMS;Não;descentralizada;-43,46108574;-22,98988938;-22.98988938:-43.46108574;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao descentralizada
9071;3,30E+12;2270455;0.01;1;0.01;0.01;Padre Miguel;5;1981-07-15T00:00:00.000Z;CMS;Não;descentralizada;-43,44865246;-22,87292502;-22.87292502:-43.44865246;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao descentralizada
9072;3,30E+12;5467136;0.01;0.01;1;0.01;;2;;CMS;Não;descentralizada;-43,20958062;-22,79464601;-22.79464601:-43.20958062;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao descentralizada
9074;3,30E+12;3785025;0.01;0.01;1;0.01;Vila Isabel;3;2005-01-28T00:00:00.000Z;CMS;Sim;descentralizada;-43,26122603;-22,91505484;-22.91505484:-43.26122603;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9075;3,30E+12;2270641;1;0.01;0.01;0.01;Campo Grande;3;1987-10-24T00:00:00.000Z;CMS;Não;descentralizada;-43,54147421;-22,85440592;-22.85440592:-43.54147421;Otimo 1<BR>Bom 0.01<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9076;3,30E+12;2288370;0.01;0.01;1;0.01;Gávea;2;1976-11-14T00:00:00.000Z;CMS;Não;descentralizada;-43,22950263;-22,97969918;-22.97969918:-43.22950263;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao descentralizada
9078;3,30E+12;2270293;0.25;0.75;0.01;0.01;Campo Grande;4;1981-07-31T00:00:00.000Z;CMS;Não;descentralizada;-43,54072177;-23,00742402;-23.00742402:-43.54072177;Otimo 0.25<BR>Bom 0.75<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9083;3,30E+12;5476836;0.01;1;0.01;0.01;Maré;3;2007-08-22T00:00:00.000Z;CMS;Sim;descentralizada;-43,24134482;-22,85745839;-22.85745839:-43.24134482;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9084;3,30E+12;5465885;0.5;0.5;0.01;0.01;;2;2009-03-02T00:00:00.000Z;CMS;Não;centralizada;-43,42052721;-22,91568257;-22.91568257:-43.42052721;Otimo 0.5<BR>Bom 0.5<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao centralizada
9085;3,30E+12;2806320;0.25;0.75;0.01;0.01;Paciência;4;1985-11-01T00:00:00.000Z;CMS;Não;descentralizada;-43,65067175;-22,92047281;-22.92047281:-43.65067175;Otimo 0.25<BR>Bom 0.75<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
8984;3,30E+12;5879655;0.01;0.01;1;0.01;Irajá;6;2010-10-07T00:00:00.000Z;CMS;Não;centralizada;-43,32869402;-22,83046238;-22.83046238:-43.32869402;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9087;3,30E+12;2269627;0.75;0.01;0.25;0.01;Costa Barros;8;1982-10-16T00:00:00.000Z;CMS;Não;descentralizada;-43,34719624;-22,83798505;-22.83798505:-43.34719624;Otimo 0.75<BR>Bom 0.01<BR>Regular 0.25<BR>Insuficiente 0.01<BR>Equipes 8<BR>Gestao descentralizada
9088;3,30E+12;5598435;0.01;1;0.01;0.01;São Francisco Xavier;3;2011-04-15T00:00:00.000Z;CMS;Entorno;centralizada;-43,24155572;-22,9040321;-22.9040321:-43.24155572;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9090;3,30E+12;3796310;0.01;1;0.01;0.01;São Conrado;1;2001-08-26T00:00:00.000Z;CMS;Não;descentralizada;-43,26976448;-22,995351;-22.995351:-43.26976448;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 1<BR>Gestao descentralizada
9091;3,30E+12;5670357;0.01;0.5;0.5;0.01;Cosmos;6;1900-01-01T00:00:00.000Z;CMS;Não;descentralizada;-43,61072905;-22,91083372;-22.91083372:-43.61072905;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao descentralizada
9298;;6503772;0.01;0.09;0.909;0.01;;;;;;;-43,25185444;-22,98932101;-22.98932101:-43.25185444;Otimo 0.01<BR>Bom 0.09<BR>Regular 0.909<BR>Insuficiente 0.01<BR>Equipes <BR>Gestao 
9338;3,30E+12;5620287;0.01;0.666;0.333;0.01;Guaratiba;5;2011-12-02T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,57641505;-22,94630263;-22.94630263:-43.57641505;Otimo 0.01<BR>Bom 0.666<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9339;3,30E+12;3567567;0.01;0.333;0.666;0.01;Pedra de Guaratiba;7;2011-02-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,64839553;-22,97521916;-22.97521916:-43.64839553;Otimo 0.01<BR>Bom 0.333<BR>Regular 0.666<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
9342;3,30E+12;6713564;0.166;0.833;0.01;0.01;Riachuelo;6;2011-04-14T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,25406691;-22,90049731;-22.90049731:-43.25406691;Otimo 0.166<BR>Bom 0.833<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9347;3,30E+12;6804209;0.4;0.6;0.01;0.01;;6;2011-07-08T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,22713878;-22,8110327;-22.8110327:-43.22713878;Otimo 0.4<BR>Bom 0.6<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9348;3,30E+12;6023320;0.01;0.6;0.4;0.01;Ramos;6;2010-12-11T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,24192631;-22,86559412;-22.86559412:-43.24192631;Otimo 0.01<BR>Bom 0.6<BR>Regular 0.4<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
8989;3,30E+12;6033121;0.01;0.01;1;0.01;Lins de Vasconcelos;1;2008-12-23T00:00:00.000Z;CMS;Não;descentralizada;-43,27372798;-22,90602937;-22.90602937:-43.27372798;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 1<BR>Gestao descentralizada
9349;3,30E+12;6820018;0.01;0.4;0.6;0.01;Del Castilho;6;2011-07-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,26887626;-22,87822386;-22.87822386:-43.26887626;Otimo 0.01<BR>Bom 0.4<BR>Regular 0.6<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9351;3,30E+12;6496989;0.01;1;0.01;0.01;Copacabana;3;2009-12-16T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,1963668;-22,98154901;-22.98154901:-43.1963668;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9354;3,30E+12;6677711;0.01;0.5;0.5;0.01;Guaratiba;5;2010-11-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,59066708;-22,94168635;-22.94168635:-43.59066708;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9356;3,30E+12;5154197;0.666;0.333;0.01;0.01;Campo Grande;6;2011-01-07T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,5842451;-22,91127949;-22.91127949:-43.5842451;Otimo 0.666<BR>Bom 0.333<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9357;3,30E+12;6660185;0.666;0.333;0.01;0.01;Santa Cruz;5;2010-11-23T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,67522985;-22,91981405;-22.91981405:-43.67522985;Otimo 0.666<BR>Bom 0.333<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9358;3,30E+12;6023975;0.01;0.4;0.8;0.01;São Francisco Xavier;5;2010-02-05T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,24295602;-22,90136241;-22.90136241:-43.24295602;Otimo 0.01<BR>Bom 0.4<BR>Regular 0.8<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9359;3,30E+12;6762042;0.2;0.6;0.2;0.01;Sampaio;5;2011-06-02T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,26134308;-22,90339623;-22.90339623:-43.26134308;Otimo 0.2<BR>Bom 0.6<BR>Regular 0.2<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9360;3,30E+12;6671020;0.01;1;0.01;0.01;Santa Cruz;7;2010-12-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,65560562;-22,93152528;-22.93152528:-43.65560562;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
9361;3,30E+12;6742130;0.01;0.4;0.6;0.01;Pilares;5;2011-03-31T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,28761647;-22,88150815;-22.88150815:-43.28761647;Otimo 0.01<BR>Bom 0.4<BR>Regular 0.6<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9362;3,30E+12;6793231;0.01;0.5;0.5;0.01;Pavuna;5;2011-07-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,37712604;-22,81342959;-22.81342959:-43.37712604;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
8995;3,30E+12;3567524;0.01;0.01;1;0.01;;3;1999-07-01T00:00:00.000Z;CMS;Não;descentralizada;-43,34760649;-22,96592065;-22.96592065:-43.34760649;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9364;3,30E+12;6664075;0.01;0.727;0.272;0.01;Penha;13;2010-12-10T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,27891169;-22,84266894;-22.84266894:-43.27891169;Otimo 0.01<BR>Bom 0.727<BR>Regular 0.272<BR>Insuficiente 0.01<BR>Equipes 13<BR>Gestao centralizada
9365;3,30E+12;6023916;0.01;0.666;0.333;0.01;Bangu;6;2011-02-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,45705213;-22,86794424;-22.86794424:-43.45705213;Otimo 0.01<BR>Bom 0.666<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9366;3,30E+12;6648371;0.25;0.75;0.01;0.01;Guaratiba;4;2010-10-24T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,66013777;-22,9842121;-22.9842121:-43.66013777;Otimo 0.25<BR>Bom 0.75<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9367;3,30E+12;6664040;0.01;0.01;1;0.01;Penha;6;2011-12-01T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,28209541;-22,82308052;-22.82308052:-43.28209541;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9368;3,30E+12;6618863;0.333;0.666;0.01;0.01;Paciência;3;2010-08-22T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,62894071;-22,91814615;-22.91814615:-43.62894071;Otimo 0.333<BR>Bom 0.666<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9369;3,30E+12;6681379;0.01;0.4;0.6;0.01;;5;2011-01-11T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,30588409;-22,86359203;-22.86359203:-43.30588409;Otimo 0.01<BR>Bom 0.4<BR>Regular 0.6<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9370;3,30E+12;6559727;0.6;0.4;0.01;0.01;Santa Cruz;5;2010-06-13T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,64465183;-22,92148801;-22.92148801:-43.64465183;Otimo 0.6<BR>Bom 0.4<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9371;3,30E+12;6688152;0.5;0.5;0.01;0.01;Sampaio;4;2011-01-26T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,26392264;-22,89929967;-22.89929967:-43.26392264;Otimo 0.5<BR>Bom 0.5<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9372;3,30E+12;6618871;0.01;0.8;0.2;0.01;Santa Cruz;6;2010-09-05T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,64007044;-22,88349852;-22.88349852:-43.64007044;Otimo 0.01<BR>Bom 0.8<BR>Regular 0.2<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9374;3,30E+12;6581994;0.01;0.01;1;0.01;Santa Cruz;7;2010-08-08T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,68703038;-22,9387656;-22.9387656:-43.68703038;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
8998;3,30E+12;2778696;0.01;0.666;0.333;0.01;Tijuca;3;2000-02-02T00:00:00.000Z;CMS;Sim;descentralizada;-43,25292467;-22,940216;-22.940216:-43.25292467;Otimo 0.01<BR>Bom 0.666<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao descentralizada
9375;3,30E+12;6635709;0.2;0.8;0.01;0.01;Guaratiba;5;2010-09-19T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,60924656;-22,95690596;-22.95690596:-43.60924656;Otimo 0.2<BR>Bom 0.8<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao centralizada
9376;3,30E+12;6571956;1;0.01;0.01;0.01;Guadalupe;4;2011-06-10T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,37176732;-22,84891995;-22.84891995:-43.37176732;Otimo 1<BR>Bom 0.01<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9379;3,30E+12;6572014;0.333;0.666;0.01;0.01;Santa Cruz;4;2010-07-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,64277028;-22,91791272;-22.91791272:-43.64277028;Otimo 0.333<BR>Bom 0.666<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9382;3,30E+12;6029965;0.01;0.25;0.75;0.01;Acari;7;2011-07-15T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,34794587;-22,82562954;-22.82562954:-43.34794587;Otimo 0.01<BR>Bom 0.25<BR>Regular 0.75<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
9385;3,30E+12;6568491;0.01;1;0.01;0.01;;6;2011-05-18T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,19147293;-22,79677193;-22.79677193:-43.19147293;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9387;3,30E+12;6716598;0.333;0.666;0.01;0.01;Vargem Pequena;3;2011-02-23T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,43225443;-22,99296356;-22.99296356:-43.43225443;Otimo 0.333<BR>Bom 0.666<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9389;3,30E+12;6387152;0.01;0.142;0.857;0.01;Padre Miguel;7;2009-11-14T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,44677029;-22,88846321;-22.88846321:-43.44677029;Otimo 0.01<BR>Bom 0.142<BR>Regular 0.857<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
9393;3,30E+12;6506232;0.125;0.375;0.5;0.01;São Conrado;8;2010-03-08T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,25267282;-22,99322124;-22.99322124:-43.25267282;Otimo 0.125<BR>Bom 0.375<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 8<BR>Gestao centralizada
9395;3,30E+12;6524486;0.01;1;0.01;0.01;Ramos;4;2010-04-06T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,26780636;-22,86050409;-22.86050409:-43.26780636;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9396;3,30E+12;6029841;0.166;0.833;0.01;0.01;Cosmos;6;2011-02-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,60979333;-22,89163531;-22.89163531:-43.60979333;Otimo 0.166<BR>Bom 0.833<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9001;3,30E+12;5358612;0.01;1;0.01;0.01;Tijuca;1;2002-06-27T00:00:00.000Z;CMS;Sim;descentralizada;-43,24877477;-22,93636984;-22.93636984:-43.24877477;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 1<BR>Gestao descentralizada
9398;3,30E+12;6683851;0.01;1;0.01;0.01;Santa Cruz;3;2011-02-01T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,65215844;-22,92745327;-22.92745327:-43.65215844;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9399;3,30E+12;6272053;0.333;0.666;0.01;0.01;Botafogo;3;2009-02-03T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,19249658;-22,95003951;-22.95003951:-43.19249658;Otimo 0.333<BR>Bom 0.666<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 3<BR>Gestao centralizada
9400;3,30E+12;6618855;0.166;0.833;0.01;0.01;Santa Cruz;6;2010-08-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,69416508;-22,91868241;-22.91868241:-43.69416508;Otimo 0.166<BR>Bom 0.833<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9405;3,30E+12;3785009;0.01;0.75;0.25;0.01;Sepetiba;4;2010-07-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,70522511;-22,96140865;-22.96140865:-43.70522511;Otimo 0.01<BR>Bom 0.75<BR>Regular 0.25<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao centralizada
9406;3,30E+12;6514022;0.01;1;0.01;0.01;Manguinhos;6;2010-04-13T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,25112317;-22,88578812;-22.88578812:-43.25112317;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
